Test_item_1 : x = 500, y = 210
Test_item_2 : x = 500, y = 220
Test_item_3 : x = 500, y = 230
Test_item_4 : x = 500, y = 240
Test_item_5 : x = 500, y = 250
Test_item_1 : x = 510, y = 210
Test_item_2 : x = 510, y = 220
Test_item_3 : x = 510, y = 230
Test_item_4 : x = 510, y = 240
Test_item_5 : x = 510, y = 250
Test_item_1 : x = 520, y = 210
Test_item_2 : x = 520, y = 220
Test_item_3 : x = 520, y = 230
Test_item_4 : x = 520, y = 240
Test_item_5 : x = 520, y = 250
Test_item_1 : x = 530, y = 210
Test_item_2 : x = 530, y = 220
Test_item_3 : x = 530, y = 230
Test_item_4 : x = 530, y = 240
Test_item_5 : x = 530, y = 250
Test_item_1 : x = 540, y = 210
Test_item_2 : x = 540, y = 220
Test_item_3 : x = 540, y = 230
